,V1_in,V2_in,V3_in,t,V1,V2,V3,I1,I2,I3,ax,ay,az,gx,gy,gz,color
21,200,100,300,8000,168.4020619,81.63529412,241.0515464,0.23497873,0.104037647,0.762852542,0.149027778,-0.237083333,10.57583333,0.000833333,-0.016041667,0.295416667,lightgreen
22,200,200,300,8000,177.5876289,176.4742268,250.7938144,0.172981091,0.177318369,0.680954383,0.140689655,-0.233448276,10.56841379,-0.000413793,-0.016413793,0.363034483,lightgreen
23,200,300,300,8000,182.3195876,263.5979381,263.5979381,0.105032151,0.474677827,0.495471343,0.124206897,-0.249310345,10.58062069,-0.002068966,-0.016206897,0.434482759,lightgreen
24,300,100,300,8000,263.8762887,85.73195876,257.7525773,0.469064857,0.096189985,0.570863731,0.134142857,-0.263785714,10.57735714,0.000642857,-0.016714286,0.354357143,lightgreen
25,300,200,300,8000,265.8247423,179.5360825,260.257732,0.394565438,0.151118256,0.477229165,0.104507042,-0.238169014,10.57816901,-0.002464789,-0.017746479,0.421478873,lightgreen
26,300,300,300,8000,272.7835052,272.2268041,269.1649485,0.326827171,0.314963401,0.347947168,0.1,-0.211724138,10.60089655,-0.004965517,-0.018689655,0.489862069,lightgreen
27,-100,100,100,8000,-24.49484536,39.24742268,40.63917526,0.809287114,0.513075667,0.491644359,0.10662069,-0.210758621,10.59151724,0.006137931,-0.011862069,0.023931034,lightgreen
28,-100,200,100,8000,-35.01098901,140.8453608,57.81521739,0.695752239,0.681336975,0.311519046,0.126482759,-0.235586207,10.58510345,0.005103448,-0.014413793,0.094413793,lightgreen
29,-100,300,100,8000,-37.02061856,244.1134021,63.4787234,0.592592713,0.71169805,0.218995083,0.133931034,-0.223241379,10.58834483,0.003310345,-0.014551724,0.158965517,lightgreen
30,-200,100,100,8000,-133.0515464,43.97938144,40.63917526,0.861972328,0.487179478,0.519326502,0.06537931,-0.283241379,10.5842069,0.006965517,-0.009862069,-0.031793103,lightgreen
31,-200,200,100,8000,-136.3917526,144.742268,46.66304348,0.822298891,0.616660443,0.402984861,0.05737931,-0.238965517,10.5817931,0.005724138,-0.011793103,0.02862069,lightgreen
32,-200,300,100,8000,-138.6185567,252.185567,58.24285714,0.755453657,0.674831164,0.299842743,0.076827586,-0.251655172,10.57896552,0.003172414,-0.012551724,0.098206897,lightgreen
33,-300,100,100,8000,-241.8865979,45.64948454,40.63917526,0.846281657,0.446102717,0.502997851,0.068758621,-0.260827586,10.57641379,0.007448276,-0.010206897,-0.08937931,lightgreen
34,-300,200,100,8000,-241.8865979,147.8041237,49.34482759,0.820385318,0.567929657,0.392907067,0.079931034,-0.248965517,10.57558621,0.007793103,-0.009586207,-0.032896552,lightgreen
35,-300,300,100,8000,-243.8350515,253.0206186,48.10344828,0.802908731,0.61474692,0.345834678,0.044827586,-0.224551724,10.5837931,0.005862069,-0.011448276,0.032413793,lightgreen
36,-100,100,200,8000,-33.03191489,63.74226804,132.2164948,0.761959652,0.225156068,0.800739905,0.067862069,-0.229310345,10.57682759,0.003172414,-0.013862069,0.086275862,lightgreen
37,-100,200,200,8000,-35.62886598,148.6391753,148.0824742,0.732108905,0.515244289,0.531317816,0.052896552,-0.211862069,10.59124138,0.002068966,-0.013931034,0.151931034,lightgreen
38,-100,300,200,8000,-32.66666667,248.8453608,143.71875,0.642558691,0.632996751,0.33903112,0.070344828,-0.235448276,10.58137931,0.002344828,-0.013862069,0.208896552,lightgreen
39,-200,100,200,8000,-132.4948454,62.8902439,137.7835052,0.809924886,0.26355377,0.76744508,0.045655172,-0.269172414,10.57158621,0.003862069,-0.011310345,0.028689655,lightgreen
40,-200,200,200,8000,-135.556701,152.257732,150.0309278,0.828932468,0.491516706,0.533358896,0.031793103,-0.277793103,10.56724138,0.004413793,-0.012551724,0.089241379,lightgreen
41,-200,300,200,8000,-135.8350515,256.3608247,157.2680412,0.780839563,0.609771841,0.418165418,0.077655172,-0.232137931,10.57172414,0.004,-0.01462069,0.158,lightgreen
42,-300,100,200,8000,-243.556701,58.73195876,139.1752577,0.836714055,0.263921047,0.723689453,0.057862069,-0.256689655,10.56351724,0.007517241,-0.009793103,-0.041034483,lightgreen
43,-300,200,200,8000,-233.814433,151.7010309,144.4044944,0.861589751,0.457711359,0.536778091,0.04937931,-0.272689655,10.56331034,0.006758621,-0.01137931,0.037103448,lightgreen
44,-300,300,200,8000,-242.443299,255.2474227,151.9793814,0.782115169,0.544584771,0.413955702,0.089241379,-0.231931034,10.56455172,0.008827586,-0.02062069,0.093862069,lightgreen
45,-100,100,300,8000,-35.07216495,66.09375,242.1649485,0.682515348,0.201726667,0.809797413,0.080965517,-0.213448276,10.57027586,0.002413793,-0.013241379,0.144068966,lightgreen
46,-100,200,300,8000,-32.28865979,162.8350515,242.7216495,0.666009379,0.272645056,0.748437493,0.055655172,-0.174068966,10.57137931,0.002482759,-0.013103448,0.205517241,lightgreen
47,-100,300,300,8000,-36.46391753,258.5876289,261.0927835,0.636282211,0.495981627,0.485903752,0.08337931,-0.172206897,10.57331034,0.000896552,-0.014068966,0.284965517,lightgreen
48,-200,100,300,8000,-134.1649485,63.74226804,238.5463918,0.720882886,0.207798947,0.73670121,0.063172414,-0.217586207,10.57068966,0.004758621,-0.013103448,0.094206897,lightgreen
49,-200,200,300,8000,-141.1237113,167.2886598,249.6804124,0.764638493,0.298889926,0.69077705,0.072068966,-0.221310345,10.57089655,0.001931034,-0.012827586,0.147793103,lightgreen
50,-200,300,300,8000,-135.8350515,246.8969072,242.7216495,0.727388842,0.499936145,0.515499438,0.072758621,-0.195724138,10.56482759,0.00062069,-0.016,0.21062069,lightgreen
51,-300,100,300,8000,-244.1134021,64.57731959,64.57731959,0.788876139,0.209848007,0.73708394,0.076689655,-0.185034483,10.57841379,0.005103448,-0.01137931,0.023655172,lightgreen
52,-300,200,300,8000,-244.9484536,167.0103093,246.8969072,0.802015756,0.276182983,0.69256307,0.091310345,-0.197310345,10.56751724,0.002137931,-0.011586207,0.080137931,lightgreen
53,-300,300,300,8000,-246.8969072,259.9793814,259.9793814,0.780201607,0.471871299,0.4955989,0.148551724,-0.189034483,10.56434483,0.000413793,-0.013241379,0.15262069,lightgreen
